gene,signal
Myo9b,-0.000754
Hdac9,-0.045226
Ly9,-0.001206
Cd244a,0.002469
Adgre1,-0.083661
Mtfp1,-0.107218
Rab23,0.007965
Rab11a,0.044694
Eif2b2,0.11643
Dlst,0.003214
Pgf,0.20568
Ulk2,-0.09258
Ccl24,-0.000959
Dgkq,-0.006271
Grap,-0.002283
Pou1f1,0.003697
Chmp2b,0.096087
Plod3,0.102417
Ap1s1,-0.062557
Mapk13,0.12717
Srpk1,-0.034223
Pax3,0.025318
Lbr,0.001613
Crabp2,0.00017
Nes,-0.055601
Bcan,0.00023
Hapln2,-0.00101
Prcc,0.000736
Rrnad1,-0.067527
Hdgf,-0.023303
Slc25a18,0.025816
Thop1,-0.000181
Apba3,-0.001112
Matk,-0.125885
Pias4,-0.002789
Map2k1,0.166269
Sgta,0.002111
Nmrk2,-0.009638
Tmem242,-0.048162
Dtx2,0.1024
Zp3,0.00049
Hspb1,0.118158
Rasa4,0.118946
Syt5,-0.002162
Hnrnpa2b1,-0.000935
Fxyd4,0.042118
Ccdc130,0.024971
Mri1,-0.065399
Prkacb,-0.0556
Sgsh,-0.136418
Chd5,0.000274
Cstb,0.106378
Sh2b2,0.087698
Pex5,-2.1e-05
Jkamp,-0.05149
Cd44,0.17092
Slc1a2,-0.001824
Eif2ak4,-1.7e-05
Wdr1,0.002965
Slc2a9,-0.031287
Wisp1,0.013059
Ndrg1,0.111121
X4930550C14Rik,0.003828
Man2b1,-0.068992
Klf5,0.261134
Wdr83,-0.009778
Prdx2,-0.097073
Polr2a,0.066283
Shbg,-2e-06
Senp3,-0.003102
Corin,0.000973
Plekha8,-0.000925
G6pc2,9.4e-05
Spc25,-0.097772
Dnah2,0.121669
Ripk4,0.006216
Ufd1,0.104973
Zfp287,-1e-06
Prlr,-0.004569
Letm1,0.030823
Ubqln1,0.000151
Fgfr4,-0.091136
Cadm3,-0.000424
Fcer1a,-0.00031
Txn2,0.000941
Casp14,-0.003791
Slc1a6,3.8e-05
Slc1a3,0.042864
Crbn,0.076004
Il5ra,-0.005026
Msh6,-0.049395
Fbxo11,0.049122
Mlxipl,0.04071
Tbl2,0.00164
Bud23,0.028964
Nid1,-0.000533
Mcm5,-0.079794
Hmox1,0.274041
Mprip,-0.000854
Cic,0.003975
Pafah1b3,-0.001956
Il27ra,-0.070608
Prkaca,-0.122845
Asf1b,-0.117648
Myl10,-0.000422
Ddx39,0.087258
Dnajb1,-0.00124
Msh4,0.146478
Usp40,0.003675
Evx1,4.8e-05
Kbtbd4,-0.014715
Celf1,-0.000552
Ndufs3,0.000944
Por,0.127965
Igf1r,0.084068
Insr,0.028515
Fcer2a,-0.133279
Cyp2a5,-0.003905
Atp4a,-0.000507
Trim28,-0.037077
Ube2m,-0.027649
Adcy9,-0.0111
Mef2c,-0.117093
Ctr9,0.000201
Eif4g2,0.055623
Mrvi1,-0.024804
Pcyt1a,0.033892
Zfp592,4.9e-05
Psmd4,0.059076
Tmod4,0.000848
Insrr,-0.000536
Cabp5,-7e-05
Snx6,0.133226
Mthfd2,0.237158
Kit,-0.002733
Tomm40l,-0.092212
Nr1i3,-0.066302
Apoa2,-0.026836
Pan2,0.006846
Cs,0.024875
Ampd3,0.316811
Bcas2,-0.049589
Sh2d1a,-0.009421
Ctcf,-0.069067
Pard6a,-0.062462
Agrp,0.000107
Pvalb,-0.000666
Tfap4,-0.000482
Ranbp1,0.092252
Cd247,0.0368
Rfx5,0.063632
Psmb4,0.085248
Mmp8,0.298661
Slc30a4,0.105263
Sqor,0.09165
Bloc1s6,0.056891
Metap1,0.039124
Gpr108,0.051841
Tnfsf14,0.003093
Gata6,0.059104
Rsl1d1,0.052295
Cnga2,0.000771
Apc,0.031966
Reep5,-0.004576
Ergic3,-0.077509
Uqcc1,-0.002613
Spo11,0.009983
Ncoa2,-0.002866
Trh,-0.000287
Nr2c2,0.003422
Nr2c1,-0.001746
Smpd4,-0.003319
Pex1,-0.003708
Otx1,-0.000172
Kctd20,0.06267
Itgae,-0.042457
Ctns,0.000682
P2rx5,0.002771
Shpk,-0.059008
Trpv1,-1.3e-05
Ephb3,-0.046304
Tuft1,0.000467
Rcn1,0.056635
Dnase1,0.001416
Trap1,-2.4e-05
Naa60,-0.001661
X1700037C18Rik,0.001312
Ankrd13d,-0.006431
Tyrp1,0.000121
Tpr,0.031021
Odr4,0.001701
Prg4,0.140037
Dhx34,-0.000633
Kptn,-0.110562
Napa,0.042227
Sra1,0.098918
Calcoco2,-0.000477
Atp5g1,0.00019
Snf8,0.042948
Tbcb,0.051373
Inpp5k,0.003967
Crkl,0.002224
Upk3bl,0.002164
Eps8l1,0.000583
Clint1,0.065016
Prss16,0.056572
Cdkal1,-0.035776
Rhox6,-6e-05
X5430419D17Rik,0.000225
Htra1,0.06656
Zbtb17,0.003819
Clcnkb,0.004262
Fam131c,-0.00397
Fblim1,0.000604
Hspb7,0.027427
Epor,-0.100201
Ccdc159,-0.005145
Mob1b,0.00011
Atp6v1b1,-0.025853
Atp6v1b2,0.128628
Eps15l1,-0.029972
Tep1,-0.066177
Ttc5,-0.084531
Osgep,-0.083529
Aamp,0.00158
Tmbim1,0.055178
Arpc2,0.059224
Kmt2b,0.001879
Zbtb32,-0.00027
Etv2,0.00028
Upk1a,0.003879
Tmem147,-0.001189
Rps9,0.038694
Tfpt,0.003792
Susd2,-3e-06
Ggt5,0.136208
Ggt1,0.067502
Crip2,-0.142971
Crip1,-0.185147
Cbfa2t3,-0.255022
Fbln1,-0.062908
Pgrmc1,-0.00222
Gcat,-0.001462
Tek,-0.131985
Mpl,-0.024016
Elovl1,0.000157
Med8,0.046961
Hyi,-0.075804
Cdc20,-0.154958
Adamts4,0.3756
Nectin4,0.136927
Pfdn2,0.02471
Rnf114,0.257515
C330007P06Rik,-0.000187
Neurl1a,0.002322
Srm,0.070099
Epha2,0.034314
Rbm14,-0.122315
Actn3,-0.000412
A530013C23Rik,0.080292
Zdhhc24,-0.004799
Bbs1,-0.000632
Slc34a3,0.013023
Ndor1,0.00735
Nsmf,-0.000626
Pdk1,-0.043452
Ptbp1,0.002994
Mvd,-0.000187
Cyba,0.162964
Itih3,0.000204
Tmem110,0.001003
Sfmbt1,-0.000202
Itih1,0.001089
Ihh,0.000253
Prkag3,-0.003727
Cryba2,0.000115
Atp7b,-0.107042
Defb2,0.000745
Slc4a1,-0.008642
Rundc3a,-0.001943
Slc4a3,-0.002209
Cdt1,-0.002522
Runx1t1,-0.080181
Snai3,-0.004672
Aprt,0.001198
Gtf2h1,0.000424
Hfe,-0.090754
Abhd1,-0.001814
Slc5a6,-0.119588
Tcf23,0.001399
Nphs1,0.000446
Aplp1,-0.000456
Qrich1,0.074793
P4htm,0.000843
Usp19,0.032828
Pola1,-0.084037
Cdc42,0.030738
Pknox1,0.001128
D130043K22Rik,-0.001981
Gmnn,-0.148132
Acot13,-0.105718
Zfp184,-0.002784
Cyp27b1,0.027239
Cdk4,-0.001615
B4galnt1,0.044017
Mettl1,0.205492
Tspan31,0.000418
Kif5b,0.034352
Saal1,-0.066444
Tph2,3e-05
Krt23,0.000323
Cnp,-0.000943
Ttc25,0.000995
Sulf2,-0.001176
Sod2,0.422551
Tmco6,0.00133
Stambp,0.044621
Ezh1,0.000899
Hap1,0.160896
P3h4,-0.050696
Ctnnb1,0.03703
Eif1b,-0.000891
Klk4,-0.000743
Chrd,0.000167
Psmd2,0.043957
Syngr3,-0.000164
Vars,0.142553
Vwa7,-0.001212
Hspa1l,9e-05
Slc44a4,0.002261
Msh5,-0.044747
Abhd16a,0.042307
Neu1,0.03
Ddah2,-0.054814
Clic1,0.068568
Lsm2,-0.002217
Pole,-0.006348
Atp1a2,-0.001647
Atp1a4,0.004702
Casq1,-0.000713
Stx1a,1e-04
Ceacam9,5.9e-05
Zfp775,-0.006197
Scube2,-0.047598
Mrpl49,-0.066621
Dennd2c,-0.064888
Mark3,0.053574
Gatad1,-0.11563
M6pr,0.028798
Lrrc8a,0.067593
Mc5r,0.000156
Ppp2r1a,0.045759
Fance,-0.002928
Tinf2,0.053276
Tssk4,-0.001078
Hapln4,4e-06
Dus3l,0.00031
Gtpbp3,-0.001009
Tgfbr1,0.042056
Homer1,0.001019
Rad51c,-0.006683
Gabrb2,-5.3e-05
Cav1,-0.124004
Arpp19,0.028817
Bcl2l1,0.220833
Khsrp,-0.043495
Dio2,0.105024
Ccdc124,0.000218
Cct4,4.1e-05
X0610009B22Rik,-0.06939
Cpt1c,-0.004447
Twist2,-0.000357
Zfp655,0.088
Rhoa,0.000152
Zmiz1,-0.034441
Ankrd26,-0.182237
Aldh16a1,0.000194
Hnrnpa0,0.037546
Prrg2,0.004776
Hnrnph1,-0.047423
Ift43,0.027196
Id3,0.038403
Tcap,-0.002695
Arid1a,-0.002823
Crlf1,-0.050021
Ctsd,-0.000644
Rplp1,-0.056306
Hmgcll1,-0.001588
Ttc9b,0.000323
Phox2a,0.040575
Abhd8,-0.061471
Ift22,0
Fzd3,-0.000297
X1700008O03Rik,0.000172
Mid1ip1,-8e-04
Ap2s1,-0.000563
Fgfrl1,-0.003745
X4930432K21Rik,-0.000257
Fhl2,-0.00319
Emc10,-0.060906
Clstn3,-0.016424
Fbxw9,-0.000217
Spib,-0.044985
Fnbp4,0.156138
Cers4,-0.075431
Scrn3,-0.095088
Phax,0.022054
Tle1,0.00112
X1700109H08Rik,0.127458
Relt,0.103916
Snrpb2,0.042214
Ubc,0.209596
Prpf31,0.106787
Sertad1,0.253643
Carhsp1,0.204349
Elk3,-0.098387
Herpud2,0.049247
Rdh13,0.101625
Adam21,0.001099
Nutf2,-0.046736
Fut1,-0.000788
Arpc5,0.092714
Elavl2,0.000175
Pou2f2,0.100799
Mgst1,0.258076
Nfib,0.01005
Htr3b,0.000775
Rab25,-0.000231
Ubqln4,-0.043579
Rbfox1,-0.033116
Rps18,-0.050431
Rpl10,-0.046618
Rps15a,-0.032392
Ncaph2,-0.051605
Hipk1,0.030504
Gprc5b,0.104299
Man1a2,-0.001778
Acyp1,-0.189933
Cldn13,-0.079502
Cd163,-0.182272
Hdac5,-0.089926
Rala,0.04252
Vdac3,-0.05413
Slc1a7,-0.000249
Vps72,-0.00041
Gabpa,0.00044
Bmp7,-0.000819
Dynll1,-0.121373
Pdcl,0.000776
Tmem184b,0.135087
Rsph14,-0.001774
Nf2,-0.031065
Cabp7,-0.028889
Zmat5,-0.008974
Ewsr1,-0.000199
Ap1b1,-0.091826
Derl3,-0.054656
Gstt4,0.000163
Tbx1,4.7e-05
Gnat2,-0.000845
Bcl2l13,-0.039975
X2610028H24Rik,-0.000351
Spatc1l,-2.4e-05
Dqx1,-0.060322
Ccl8,0.003991
Lnpk,-0.001341
Prr29,0.00149
Mymk,0.015584
Fam163b,-2.1e-05
Trpm5,-0.000753
Ascl2,-0.044107
Rarres2,0.003527
Pttg1ip,0.029576
Trpm2,0.105687
Ube2g2,0.045545
Mpo,0.003502
Lpo,0.012467
Met,0.040297
Slc16a12,-0.07312
Syn2,0.011582
